_time,AP_channel,RSSI,channel_width,client_ID,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,obstacles,radio,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_drop_misc,router_rx_duration_us,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_duration_us,router_tx_failed,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms
2026-07-10 17:27:02.002000+00:00,48,-55,80.0,3.0,4,2.0,0.0010217385892544,2896,29.705,11.377777777777778,22.494000000000003,433,cwpb-2m,0,1.0,330.359,-92.0,13,3.0,6165881.0,390.0,-69.0,-70.0,23.0,5907248.0,4634.0,390.0,4625.0,0.0,3,3.0,-36.0,44,248.1043133493205,90.52229333864383,0.0902759865875677,42,95.083
2026-07-10 17:30:44.036000+00:00,48,-36,80.0,1.0,9,2.0,0.0,0,2.105,10.264444444444443,9.935,780,cwpb-2m,0,1.0,619.0,-91.0,12,0.0,5747570.0,650.0,-58.0,-52.0,32.0,8622673.0,10358.0,780.0,10358.0,0.0,8,3.0,-28.0,85,482.8825282380402,196.03599168524235,0.0490390677906732,21,4.345
2026-07-10 17:31:30.804000+00:00,48,-54,80.0,2.0,0,2.0,0.000431096202857,1448,30.947,12.574444444444444,22.289,433,cwpb-2m,0,1.0,330.359,-90.0,13,4.0,5886424.0,325.0,-67.0,-68.0,24.0,8251650.0,2451.0,390.0,2438.0,0.0,0,3.0,-28.0,0,279.8716483867745,123.7786454689984,0.0,0,9.165
2026-07-10 17:32:37.332000+00:00,48,-57,80.0,3.0,4,2.0,0.1488625917767783,212856,10.368,4.357777777777778,5.595000000000001,390,cwpb-2m,0,1.0,330.359,-90.0,13,4.0,5886424.0,325.0,-67.0,-68.0,24.0,8251650.0,2451.0,390.0,2438.0,0.0,3,3.0,-36.0,44,128.24310791366906,78.68749428486234,0.0926743159752868,42,99.282
2026-07-10 17:36:32.746000+00:00,48,-37,80.0,1.0,11,2.0,0.0005751296270387,2896,1.844,10.203333333333331,7.953,702,cwpb-2m,0,1.0,619.0,-92.0,13,1.0,5903423.0,650.0,-60.0,-53.0,32.0,8798421.0,17542.0,780.0,17542.0,0.0,10,3.0,-31.0,82,402.7389615863064,141.00730217683213,0.1544799176107106,84,1.446
2026-07-10 17:37:07.128000+00:00,48,-54,80.0,2.0,0,2.0,0.0009451984142494,2896,36.983,6.058888888888889,18.836,433,cwpb-2m,0,1.0,330.359,-92.0,13,3.0,5606135.0,390.0,-66.0,-68.0,26.0,7851228.0,8752.0,390.0,8751.0,0.0,0,3.0,-31.0,0,249.65596564466196,109.9171116615476,0.0,0,7.282
2026-07-10 17:38:13.064000+00:00,48,-57,80.0,3.0,6,2.0,0.0010408059172979,2896,38.298,4.47111111111111,15.322,390,cwpb-2m,0,1.0,330.359,-92.0,13,3.0,5606135.0,390.0,-66.0,-68.0,26.0,7851228.0,8752.0,390.0,8751.0,0.0,5,3.0,-43.0,39,232.10912156627708,67.06797652442057,0.0738630368259997,42,118.659
2026-07-10 17:42:21.789000+00:00,48,-35,80.0,1.0,12,2.0,0.00025563676823,1448,1.612,3.183333333333333,4.541,527,cwpb-2m,0,1.0,619.0,-91.0,13,0.0,5360795.0,468.0,-59.0,-52.0,32.0,8655402.0,13737.0,780.0,13737.0,0.0,11,1.0,-35.0,85,452.66879665632416,141.62286563652555,0.1645338208409506,63,2.798
2026-07-10 17:42:42.627000+00:00,48,-54,80.0,2.0,0,2.0,0.0873720825646181,101360,9.878,0.0,0.0,433,cwpb-2m,0,1.0,330.359,-92.0,12,4.0,5264305.0,263.3,-68.0,-68.0,25.0,3905206.0,3711.0,390.0,3709.0,0.0,0,1.0,-35.0,0,103.87331655682046,98.34302500992456,0.0,0,12.533
2026-07-10 17:43:49.036000+00:00,48,-54,80.0,3.0,6,2.0,0.0010865857566496,2896,21.203,17.755555555555553,25.344,433,cwpb-2m,0,1.0,330.359,-92.0,13,4.0,5264305.0,263.3,-68.0,-68.0,25.0,3905206.0,3711.0,390.0,3709.0,0.0,5,3.0,-43.0,39,225.36058643763107,80.42848433330039,0.0820665129547852,42,84.929
