_time,AP_channel,RSSI,bssid,channel_width,client_mode,client_name,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,mac,obstacles,radio,router_connected_time_sec,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_bytes,router_rx_drop_misc,router_rx_duration_us,router_rx_packets,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_bytes,router_tx_duration_us,router_tx_failed,router_tx_packets,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_strongest_ssid,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,ssid,stored_at,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms
2026-05-30 21:26:30.297000+00:00,149,-35,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0004932367339862991,2896,2.963,10.742222222222223,8.648,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,33874,619.0,-92,3,101816443,0,1732659,122996,780.0,-48,-42,44,617933059,8548106,20205,413970,780.0,20205,4,0,3,-24,069-2G,37,468.9950801662427,73.5928205836976,069-5G,2026-05-30T21:27:02.152Z,0.0,0,1.837
2026-05-30 21:28:23.831000+00:00,149,-32,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.3201571987415006,1740496,1.415,14.055555555555557,36.44,234,sala,80:38:fb:61:54:f9,0,5ghz,103,619.0,-92,3,0,0,0,0,866.7,-53,-56,40,17609066,116252,1251,8756,780.0,1251,4,1,3,-21,069-2G,32,432.8153322726205,93.0423679420906,069-5G,2026-05-30T21:28:50.785Z,0.19388194743644982,63,1.292
2026-05-30 21:29:01.588000+00:00,149,-25,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0011146297213921429,2896,20.336,4.853333333333333,17.872,433,sala,08:aa:55:1d:45:66,0,5ghz,15294,330.359,-92,3,337794574,1,7998299,256659,433.3,-45,-46,48,288472025,6365695,595,237938,390.0,595,,0,3,-40,069-2G,22,214.5767034372502,255.3581138988451,069-5G,2026-05-30T21:29:04.648Z,0.0,0,8.191
2026-05-30 21:30:01.380000+00:00,149,-42,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.000735362288622954,2896,30.172,10.954444444444444,19.371,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,34057,330.359,-92,2,313847370,3,7577735,266109,433.3,-52,-52,40,438356790,9098686,717,332426,390.0,717,,0,3,-27,069-2G,22,328.7676800639872,235.8930678877165,069-5G,2026-05-30T21:30:05.127Z,0.0,0,10.257
2026-05-30 21:32:00.022000+00:00,149,-30,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.89,0.9311111111111111,3.0420000000000003,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,34203,619.0,-92,2,106112287,0,1950385,154941,780.0,-48,-42,45,844907976,8755182,1089,564218,780.0,1089,4,0,6,-29,Dias,40,642.2421111086112,73.92482920774111,069-5G,2026-05-30T21:32:32.279Z,0.0,0,1.779
2026-05-30 21:33:47.706000+00:00,149,-25,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.03886692297042572,272224,1.573,12.417777777777777,20.674,234,sala,80:38:fb:61:54:f9,0,5ghz,97,619.0,-92,3,0,0,0,0,780.0,-42,-40,50,163832229,825229,1317,105403,780.0,1319,4,1,3,-17,069-2G,35,558.3798784993623,46.533622411555136,069-5G,2026-05-30T21:34:14.809Z,0.28841201716738196,84,1.323
2026-05-30 21:34:22.207000+00:00,149,-27,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0003966557406637593,1448,36.307,6.922222222222222,18.908,433,sala,08:aa:55:1d:45:66,0,5ghz,15615,330.359,-92,3,235639379,2,5798020,192462,433.3,-45,-46,47,399393238,8172988,446,297589,390.0,446,,0,3,-40,069-2G,22,299.9821859954051,177.12432432432433,069-5G,2026-05-30T21:34:25.459Z,10.117833274709813,5753,11.378
2026-05-30 21:35:22.031000+00:00,149,-42,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.00038553654332621336,1448,24.717,10.404444444444444,20.031,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,34378,330.359,-92,3,275734330,0,7076972,240380,433.3,-52,-52,40,437342445,9191176,135,328871,390.0,135,,0,3,-27,069-2G,22,327.8634274290284,206.77321977912646,069-5G,2026-05-30T21:35:25.679Z,0.0,0,8.381
2026-05-30 21:37:28.894000+00:00,149,-34,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,1.505,0.6477777777777778,4.319,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,34532,619.0,-92,3,105677081,0,1813958,134637,780.0,-47,-42,45,714352722,8796854,10856,477691,780.0,10856,4,0,3,-24,069-2G,33,542.6898251432287,75.71495185801064,069-5G,2026-05-30T21:38:00.994Z,0.0,0,1.578
2026-05-30 21:39:11.505000+00:00,149,-32,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.5783323364335115,2719344,1.449,4.19,7.82,234,sala,80:38:fb:61:54:f9,0,5ghz,92,619.0,-92,3,0,0,0,0,866.7,-50,-39,42,0,0,743,0,780.0,740,4,1,3,-17,069-2G,31,375.0831579859936,14.16496156581124,069-5G,2026-05-30T21:39:39.212Z,3.1227858398719395,1190,5.767
2026-05-30 21:39:42.817000+00:00,149,-25,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0008997224977449773,2896,31.648,4.773333333333333,15.114999999999998,433,sala,08:aa:55:1d:45:66,0,5ghz,15935,330.359,-92,3,165237257,1,4674010,146520,433.3,-45,-46,48,353775803,7468532,1246,256628,390.0,1246,,0,3,-42,069-2G,25,265.7328605975817,123.58887606922617,069-5G,2026-05-30T21:39:45.868Z,9.826804054168003,5827,6.237
2026-05-30 21:40:42.657000+00:00,149,-42,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003630860775987565,1448,47.114,11.439999999999998,20.739000000000004,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,34699,330.359,-92,3,304772043,0,7482527,259851,433.3,-52,-52,40,435136645,9051025,519,331097,390.0,517,,0,3,-27,069-2G,22,326.1863766493403,228.66273173640792,069-5G,2026-05-30T21:40:46.289Z,0.0,0,10.536
