_time,AP_channel,RSSI,channel_width,client_ID,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,obstacles,radio,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_drop_misc,router_rx_duration_us,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_duration_us,router_tx_failed,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms,qoe_dw_score
2026-07-10 17:31:30.804000+00:00,48,-54,,2.0,0,2.0,0.00011258484500754387,1448,30.947,0.022285236055727856,0.011447280571105748,433,cwpb-2m,0,1.0,330.359,-90.0,13,4.0,5886424.0,325.0,-67.0,-68.0,24.0,8251650.0,2451.0,390.0,2438.0,,0,,,0,0.49301858823405587,0.29418073753279006,0.0,0,9.165,0.7871993257668459
2026-07-10 17:36:32.746000+00:00,48,-37,80.0,1.0,11,2.0,0.0001502005341041643,2896,1.844,0.0180830010338207,0.004084535976580556,702,cwpb-2m,0,1.0,619.0,-92.0,13,1.0,5903423.0,650.0,-60.0,-53.0,32.0,8798421.0,17542.0,780.0,17542.0,,10,3.0,-31.0,82,0.7094601951024683,0.3351275334668205,0.007568661019113894,84,1.446,1.0445877285692888
2026-07-10 17:37:07.128000+00:00,48,-54,,2.0,0,2.0,0.0002468474931219567,2896,36.983,0.010737951065819918,0.009673873966411586,433,cwpb-2m,0,1.0,330.359,-92.0,13,3.0,5606135.0,390.0,-66.0,-68.0,26.0,7851228.0,8752.0,390.0,8751.0,,0,,,0,0.4397909986089097,0.26123647462410515,0.0,0,7.282,0.7010274732330148
2026-07-10 17:42:21.789000+00:00,48,-35,80.0,1.0,12,2.0,6.676195646972777e-05,1448,1.612,0.005641707281051543,0.0023321863283858046,527,cwpb-2m,0,1.0,619.0,-91.0,13,0.0,5360795.0,468.0,-59.0,-52.0,32.0,8655402.0,13737.0,780.0,13737.0,,11,1.0,-35.0,85,0.797416002483716,0.3365905234024811,0.008061246635714359,63,2.798,1.134006525886197
2026-07-10 17:42:42.627000+00:00,48,-54,,2.0,0,2.0,0.022818044576437237,101360,9.878,0.0,0.0,433,cwpb-2m,0,1.0,330.359,-92.0,12,4.0,5264305.0,263.3,-68.0,-68.0,25.0,3905206.0,3711.0,390.0,3709.0,,0,,,0,0.1829820068564431,0.23372871402015133,0.0,0,12.533,0.41671072087659444
2026-07-10 17:48:11.818000+00:00,48,-33,80.0,1.0,8,2.0,0.0001427077878719592,2896,2.55,0.05733865012553537,0.00968260489959427,867,cwpb-2m,0,1.0,619.0,-92.0,13,0.0,1588422.0,866.7,-62.0,-63.0,30.0,8291271.0,12226.0,780.0,12226.0,,7,3.0,-29.0,82,0.7465355509422655,0.02346113241273695,0.1680177417844883,1229,8.004,0.7699966833550025
2026-07-10 17:53:54.143000+00:00,48,-54,,2.0,0,2.0,0.0002482412382368836,2896,84.198,0.01921921921921922,0.011504802013250475,433,cwpb-2m,0,1.0,330.359,-88.0,13,1.0,4211197.0,263.3,-68.0,-69.0,20.0,7111117.0,5254.0,390.0,5254.0,,0,,,0,0.44131088112125605,0.16099713582410635,0.0,0,20.37,0.6023080169453624
2026-07-10 17:54:00.241000+00:00,48,-44,80.0,1.0,9,2.0,0.0002813685285645805,2896,6.428,0.006848816029143897,0.002353756869190078,780,cwpb-2m,0,1.0,619.0,-92.0,11,0.0,2590098.0,866.7,-62.0,-55.0,30.0,5116735.0,4743.0,780.0,4743.0,,8,3.0,-29.0,86,0.3741271833191571,0.0820261355089232,0.8846059182348778,10502,6.66,0.4561533188280803
2026-07-10 17:59:30.022000+00:00,48,-54,,2.0,0,2.0,0.0002733812480535052,2896,39.183,0.02593806921675774,0.00895947819834626,433,cwpb-2m,0,1.0,330.359,-91.0,13,1.0,5520006.0,390.0,-66.0,-68.0,25.0,6388353.0,1775.0,390.0,1775.0,,0,,,0,0.40146006576916937,0.2722978145596503,0.0,0,22.939,0.6737578803288197
2026-07-10 17:59:49.806000+00:00,48,-43,80.0,1.0,11,2.0,0.0012022366441707258,15928,5.54,0.004877664549795698,0.002543269477684762,867,cwpb-2m,0,1.0,619.0,-91.0,13,0.0,6117418.0,702.0,-57.0,-50.0,34.0,6725465.0,6482.0,780.0,6482.0,,10,1.0,-33.0,92,0.484438898375953,0.33614456286088445,0.009591756859611182,84,2.0,0.8205834612368375
