_time,AP_channel,RSSI,channel_width,client_ID,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,obstacles,radio,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_drop_misc,router_rx_duration_us,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_duration_us,router_tx_failed,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms,qoe_dw_score
2026-05-30 21:28:23.831000+00:00,149,-32,80.0,1.0,2,2.0,0.0592165727435136,1740496,1.415,0.024943310657596373,0.008162472933622041,234,1.0,0,1.0,619.0,-92.0,3,0.0,0.0,866.7,-53.0,-56.0,40.0,116252.0,1251.0,780.0,1251.0,4.0,1,3.0,-21.0,32,0.6484341087178929,0.31793565475113694,0.002498465440753719,63,1.292,10.191535417792254
2026-05-30 21:29:01.588000+00:00,149,-25,80.0,3.0,1,2.0,0.0002061629481965532,2896,20.336,0.008612836438923395,0.004003285298290152,433,1.0,0,1.0,330.359,-92.0,3,1.0,7998299.0,433.3,-45.0,-46.0,48.0,6365695.0,595.0,390.0,595.0,0.0,0,3.0,-40.0,22,0.32147394759415904,0.8725858007932004,0.0,0,8.191,93.12379015777323
2026-05-30 21:30:01.380000+00:00,149,-42,80.0,2.0,1,2.0,0.000136013291683733,2896,30.172,0.019440007887212857,0.004339057716717688,433,1.0,0,1.0,330.359,-92.0,2,3.0,7577735.0,433.3,-52.0,-52.0,40.0,9098686.0,717.0,390.0,717.0,0.0,0,3.0,-27.0,22,0.49255227738388213,0.8060716708845445,0.0,0,10.257,54.30147037928349
2026-05-30 21:32:00.022000+00:00,149,-30,80.0,1.0,1,2.0,0.0,0,2.89,0.0016523710933648824,0.0006814007317255283,780,1.0,0,1.0,619.0,-92.0,2,0.0,1950385.0,780.0,-48.0,-42.0,45.0,8755182.0,1089.0,780.0,1089.0,4.0,0,6.0,-29.0,40,0.9621925561442375,0.2526089941214477,0.0,0,1.779,520.5314149418286
2026-05-30 21:33:47.706000+00:00,149,-25,80.0,1.0,2,2.0,0.007188862160344768,272224,1.573,0.02203687272010253,0.004630926603449563,234,1.0,0,1.0,619.0,-92.0,3,0.0,0.0,780.0,-42.0,-40.0,50.0,825229.0,1317.0,780.0,1319.0,4.0,1,3.0,-17.0,35,0.8365520623762887,0.15901033084807295,0.003716629975707071,84,1.323,26.496544607882377
2026-05-30 21:34:22.207000+00:00,149,-27,80.0,3.0,1,2.0,7.336581408593994e-05,1448,36.307,0.012284334023464457,0.004235346822967222,433,1.0,0,1.0,330.359,-92.0,3,2.0,5798020.0,433.3,-45.0,-46.0,47.0,8172988.0,446.0,390.0,446.0,0.0,0,3.0,-40.0,22,0.4494265034138226,0.6052526313760265,0.13038375726268384,5753,11.378,7.175820310672573
2026-05-30 21:35:22.031000+00:00,149,-42,80.0,2.0,1,2.0,7.130919702227933e-05,1448,24.717,0.018463965296263433,0.0044868961397745094,433,1.0,0,1.0,330.359,-92.0,3,0.0,7076972.0,433.3,-52.0,-52.0,40.0,9191176.0,135.0,390.0,135.0,0.0,0,3.0,-27.0,22,0.49119754660684023,0.706566056620508,0.0,0,8.381,52.02652792032302
2026-05-30 21:37:28.894000+00:00,149,-34,80.0,1.0,1,2.0,0.0,0,1.505,0.0011495612737848762,0.0009674456805794072,780,1.0,0,1.0,619.0,-92.0,3,0.0,1813958.0,780.0,-47.0,-42.0,45.0,8796854.0,10856.0,780.0,10856.0,4.0,0,3.0,-24.0,33,0.81304558050029,0.2587260333744955,0.0,0,1.578,506.2674034515055
2026-05-30 21:39:11.505000+00:00,149,-32,80.0,1.0,2,2.0,0.10696888592529384,2719344,1.449,0.00743566992014197,0.0017516613156126337,234,1.0,0,1.0,619.0,-92.0,3,0.0,0.0,866.7,-50.0,-39.0,42.0,0.0,743.0,780.0,740.0,4.0,1,3.0,-17.0,31,0.561941075346526,0.048403178353692435,0.04024187193783216,1190,5.767,3.902504546039156
2026-05-30 21:39:42.817000+00:00,149,-25,80.0,3.0,1,2.0,0.00016641350857053323,2896,31.648,0.00847086660751257,0.0033857238856118865,433,1.0,0,1.0,330.359,-92.0,3,1.0,4674010.0,433.3,-45.0,-46.0,48.0,7468532.0,1246.0,390.0,1246.0,0.0,0,3.0,-42.0,25,0.3981149413397274,0.4223163178465387,0.12663340061840916,5827,6.237,5.917009469804972
